Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,0.750038,1568.473721,2868.131514,3937.793232,4711.136133
your,0.756288,248.78412,2450.755801,2982.391297,3104.427343
your,0.762538,273.326825,2505.271078,2982.638567,3006.392024
your,0.768788,271.701991,2462.152321,3026.444568,4075.423172
your,0.775038,253.641655,2509.500914,3063.617559,4212.697269
your,0.781288,273.939966,2520.130134,3085.182357,4413.451544
your,0.787538,279.564717,2462.713878,3055.260504,4239.605942
your,0.793788,267.655552,2253.181298,3052.394861,4048.809287
your,0.800038,269.366098,2186.769246,2882.963023,3722.946263
your,0.806288,272.489799,2105.421576,2771.440783,3564.83658
your,0.812538,279.532346,2098.114633,2858.354275,3402.227751
your,0.818788,287.518457,2075.710346,2896.433657,3027.657095
your,0.825038,300.418139,1943.721263,2962.052901,3063.607842
your,0.831288,320.266538,1941.319714,2843.215842,3087.297959
your,0.837538,340.05254,1985.752864,2371.144159,3114.148703
your,0.843788,354.410238,1966.502217,2319.943513,3113.247302
your,0.850038,367.561913,1997.779934,2164.432,3119.37492
your,0.856288,379.810711,1898.713589,2041.982683,3143.902487
your,0.862538,395.472093,1732.712912,2100.667663,3170.553993
your,0.868788,430.201951,1579.114777,2104.663981,3129.617864
your,0.875038,461.313917,1342.395578,2096.953454,3126.33941
your,0.881288,519.643821,1048.103232,2070.204479,3114.804047
your,0.887538,835.561867,2106.019314,3104.488264,4083.986694
your,0.893788,1008.202128,2135.3164,3160.144089,4216.64391
your,0.900038,1072.338466,2176.162988,3189.556597,4230.269936
your,0.906288,1070.721068,2175.033867,3146.563691,4174.321067
your,0.912538,1085.83874,2158.439183,3112.261221,4193.565608
your,0.918788,1004.213673,2142.972636,3115.960851,4163.584465
your,0.925038,938.164736,2155.225065,3107.299325,4199.313139
your,0.931288,847.716978,2150.748521,3094.037606,4214.06515
your,0.937538,835.594653,2088.910088,3054.881032,4240.805777
your,0.943788,700.727144,2041.477158,3013.2836,4201.228023
your,0.950038,765.700516,2041.427944,3033.550658,4179.566358
your,0.956288,835.544554,2050.253514,3098.565128,4257.777578
your,0.962538,269.2641,1039.187121,2061.049694,3127.526658
your,0.968788,367.241388,1174.460594,2066.984451,3145.20682
your,0.975038,421.718775,1358.803314,2129.814031,3171.078461
your,0.981288,444.215623,1480.451678,2353.318516,3064.74228
your,0.987538,444.672103,1549.171587,2447.33904,3004.240205
your,0.993788,453.060806,1756.999675,2511.224572,2869.396732
your,1.000038,455.178676,1986.419954,2127.58376,3043.882129
your,1.006288,464.363361,1661.914613,2008.925401,2987.788731
your,1.012538,443.417841,1885.399844,2000.209619,3017.425182
your,1.018788,424.311679,1916.578853,2005.557766,3129.596107
your,1.025038,420.780643,1996.007486,2229.063197,3137.815272
your,1.031288,421.262875,2016.178844,3132.540581,4395.1923
your,1.037538,440.103938,1987.523974,3135.64376,4405.056837
your,1.043788,637.719753,1894.383063,3182.540094,4455.140511
your,1.050038,381.747217,1917.061008,3307.026957,4509.959871
your,1.056288,349.181312,1642.948367,1913.293259,3307.569313
your,1.062538,524.194131,1938.546728,3217.604894,4486.710531
your,1.068788,737.661491,1973.520448,3339.755047,4478.263471
your,1.075038,953.768553,1973.98425,3396.252669,4560.588383
your,1.081288,1044.945672,2011.41984,3408.289287,4803.088653
your,1.087538,1094.880809,1945.372695,3574.820121,4896.564808
your,1.093788,995.726248,1943.265195,3353.717458,4459.621364
your,1.100038,499.444496,1942.634243,3367.751569,4550.447575
good,1.106288,563.137797,2098.048043,3481.518936,4706.866919
good,1.112538,886.265116,2252.014622,3709.180364,4229.130515
good,1.118788,882.698858,910.006475,2617.258603,4044.258769
good,1.125038,859.050252,927.521539,2594.812365,4098.084852
good,1.131288,716.977919,1039.312127,2547.671763,4115.068894
good,1.137538,663.588171,1045.313848,2583.911416,4110.456485
good,1.143788,897.078589,1000.658114,2686.689167,3996.396938
good,1.150038,980.521063,1131.730988,2671.793345,3978.878935
good,1.156288,992.210703,2347.557242,3215.272478,4416.760651
good,1.162538,959.976394,2257.358022,3096.534939,4442.772106
good,1.168788,983.400321,2089.262171,2963.243553,4010.64013
good,1.175038,1010.050006,2331.341301,3230.403121,4375.631947
good,1.181288,939.441186,2411.066651,3375.832163,4325.590388
good,1.187538,758.684106,2688.541245,2752.957658,4146.050043
good,1.193788,428.634906,2274.674768,2908.73859,4115.974961
good,1.200038,486.052538,2355.074191,3013.12834,4167.362524
good,1.206288,501.622877,2392.807557,3033.18026,4102.18731
good,1.212538,546.013949,2370.446979,3394.978085,4189.736473
good,1.218788,465.071802,2343.063525,3163.761912,4148.490923
good,1.225038,420.679641,2355.914595,3101.990024,4088.230432
good,1.231288,483.456926,2357.770205,3040.314326,4084.958352
good,1.237538,719.01281,2343.162474,3105.404284,4137.194418
good,1.243788,818.017214,2340.293211,3454.360461,4214.247307
good,1.250038,762.985049,2343.899902,3709.961677,4300.553495
good,1.256288,385.715281,1211.198998,2401.219525,3824.352392
good,1.262538,352.220586,1294.283686,2468.705677,3851.985546
good,1.268788,320.33857,1289.590683,2480.393258,3796.464595
good,1.275038,304.282153,1275.894534,2585.084758,3706.183764
good,1.281288,277.196263,1310.636855,2437.496915,3595.282831
good,1.287538,327.884464,1145.654537,2263.509287,3655.462241
good,1.293788,322.532102,1824.795813,2428.5893,3780.953389
good,1.300038,1309.136315,2553.93008,3801.88698,4246.674834
good,1.306288,732.912119,2218.073198,3497.513228,4111.951921
good,1.312538,900.979325,2260.045476,3358.230247,4083.546557
good,1.318788,977.965883,2193.964345,3255.839103,4163.033937
good,1.325038,1047.679304,2293.095362,3493.604874,4190.177028
good,1.331288,1023.375446,2363.981989,3965.184979,4319.790478
good,1.337538,842.55876,2295.602939,2583.994095,3991.887578
good,1.343788,838.16549,2255.548792,2367.837757,3988.398642
good,1.350038,787.003204,2158.522675,3757.872292,3912.527003
good,1.356288,783.255046,1904.448698,3066.097508,4069.645573
good,1.362538,991.940045,1968.754661,2563.664059,3556.11786
good,1.368788,1157.00729,1866.670573,2021.635104,3469.626467
good,1.375038,1224.557995,1984.315796,2050.288647,3446.842826
good,1.381288,1106.956975,1677.994386,2288.656114,3585.852482
good,1.387538,896.098483,1623.87441,2833.295202,3678.588636
good,1.393788,852.901478,1853.392389,3118.026902,4419.970745
good,1.400038,816.204933,1875.80593,2998.633511,4221.957605
good,1.406288,834.582151,1748.951685,3071.08868,4217.95849
good,1.412538,1043.526992,1199.431757,2670.817467,3749.389264
good,1.418788,812.427074,1585.889391,3082.48929,3956.246934
good,1.425038,760.659658,1868.882191,3287.415069,4062.948532
good,1.431288,777.723774,1564.484536,2817.058447,3855.152947
good,1.437538,836.080112,1576.593273,2770.825635,4076.311386
good,1.443788,812.06868,1767.926889,3026.522058,3984.858954
pants,1.450038,709.81179,1648.547164,3116.769833,4202.710774
pants,1.456288,720.042246,1877.223615,2965.255107,4251.71566
pants,1.462538,740.492679,2005.88709,2973.726004,4241.19032
pants,1.468788,756.989462,1895.09268,3004.261156,4234.569773
pants,1.475038,747.975308,2022.389677,3238.302625,4201.548806
