Word,Time_s,F0_Hz
your,0.755086,--undefined--
your,0.766625,--undefined--
your,0.778163,--undefined--
your,0.789702,109.369817
your,0.80124,117.912689
your,0.812779,118.058704
your,0.824317,119.142802
your,0.835856,119.714694
your,0.847394,119.088596
your,0.858932,119.832429
your,0.870471,121.914849
your,0.882009,123.672118
your,0.893548,125.392191
your,0.905086,127.041018
your,0.916625,128.716756
your,0.928163,129.302543
your,0.939702,129.545752
your,0.95124,129.087503
your,0.962779,128.140988
your,0.974317,127.46565
your,0.985856,127.2704
your,0.997394,127.653037
your,1.008932,127.959783
your,1.020471,127.753786
your,1.032009,125.770642
your,1.043548,121.457935
your,1.055086,112.209142
your,1.066625,114.023992
your,1.078163,--undefined--
your,1.089702,--undefined--
your,1.10124,--undefined--
good,1.112779,--undefined--
good,1.124317,--undefined--
good,1.135856,--undefined--
good,1.147394,--undefined--
good,1.158932,--undefined--
good,1.170471,--undefined--
good,1.182009,135.742676
good,1.193548,139.925046
good,1.205086,142.755483
good,1.216625,145.607871
good,1.228163,148.826068
good,1.239702,152.350481
good,1.25124,154.671186
good,1.262779,156.824616
good,1.274317,156.776082
good,1.285856,142.593485
good,1.297394,145.058647
good,1.308932,--undefined--
good,1.320471,--undefined--
good,1.332009,--undefined--
good,1.343548,--undefined--
good,1.355086,--undefined--
good,1.366625,--undefined--
good,1.378163,--undefined--
good,1.389702,--undefined--
good,1.40124,--undefined--
good,1.412779,--undefined--
good,1.424317,--undefined--
good,1.435856,--undefined--
pants,1.447394,--undefined--
pants,1.458932,--undefined--
pants,1.470471,--undefined--
pants,1.482009,--undefined--
pants,1.493548,--undefined--
pants,1.505086,--undefined--
pants,1.516625,--undefined--
pants,1.528163,--undefined--
pants,1.539702,--undefined--
pants,1.55124,--undefined--
pants,1.562779,--undefined--
pants,1.574317,167.011444
pants,1.585856,167.212444
pants,1.597394,167.056796
pants,1.608932,165.990665
pants,1.620471,164.589419
pants,1.632009,159.183752
pants,1.643548,159.841013
pants,1.655086,159.379213
pants,1.666625,157.837673
pants,1.678163,157.577709
pants,1.689702,157.61157
pants,1.70124,153.406176
pants,1.712779,--undefined--
pants,1.724317,--undefined--
pants,1.735856,--undefined--
pants,1.747394,--undefined--
pants,1.758932,--undefined--
pants,1.770471,--undefined--
pants,1.782009,--undefined--
pants,1.793548,--undefined--
pants,1.805086,--undefined--
pants,1.816625,--undefined--
pants,1.828163,--undefined--
pants,1.839702,--undefined--
pants,1.85124,--undefined--
pants,1.862779,--undefined--
look,1.874317,108.269007
look,1.885856,107.783161
look,1.897394,115.553527
look,1.908932,130.722404
look,1.920471,132.970953
look,1.932009,126.831815
look,1.943548,125.624298
look,1.955086,125.634852
look,1.966625,126.121087
look,1.978163,125.794419
look,1.989702,126.111953
look,2.00124,128.608437
look,2.012779,132.041571
look,2.024317,134.616514
look,2.035856,135.656299
look,2.047394,136.307998
look,2.058932,133.725719
look,2.070471,126.973566
look,2.082009,124.261844
look,2.093548,--undefined--
look,2.105086,--undefined--
look,2.116625,--undefined--
look,2.128163,--undefined--
look,2.139702,--undefined--
look,2.15124,--undefined--
look,2.162779,--undefined--
great,2.174317,--undefined--
great,2.185856,--undefined--
great,2.197394,--undefined--
great,2.208932,--undefined--
great,2.220471,--undefined--
great,2.232009,--undefined--
great,2.243548,--undefined--
great,2.255086,--undefined--
great,2.266625,--undefined--
great,2.278163,116.36755
great,2.289702,114.663838
great,2.30124,115.803477
great,2.312779,118.06641
great,2.324317,120.296498
great,2.335856,123.369744
great,2.347394,125.319102
great,2.358932,127.377146
great,2.370471,127.977507
great,2.382009,127.578841
great,2.393548,126.847654
great,2.405086,125.996456
great,2.416625,120.549002
great,2.428163,118.1753
great,2.439702,110.574861
great,2.45124,110.129744
great,2.462779,98.352615
great,2.474317,97.499415
great,2.485856,99.539993
great,2.497394,--undefined--
great,2.508932,--undefined--
great,2.520471,--undefined--
great,2.532009,--undefined--
great,2.543548,--undefined--
great,2.555086,--undefined--
great,2.566625,--undefined--
great,2.578163,--undefined--
great,2.589702,--undefined--
great,2.60124,--undefined--
great,2.612779,--undefined--
great,2.624317,--undefined--
great,2.635856,--undefined--
great,2.647394,--undefined--
great,2.658932,--undefined--
great,2.670471,--undefined--
great,2.682009,--undefined--
great,2.693548,--undefined--
great,2.705086,--undefined--
great,2.716625,--undefined--
great,2.728163,--undefined--
great,2.739702,--undefined--
great,2.75124,--undefined--
